year,Original_Food retailing,Original_ Household goods retailing,"Original_Clothing, footwear and personal accessory retailing",Original_Department stores,Original_ Other retailing,"Original_Cafes, restaurants and takeaway food services",Original_Total (Industry),Seasonally_Food retailing,Seasonally_Household goods retailing,"Seasonally_Clothing, footwear and personal accessory retailing",Seasonally_Department stores,Seasonally_Other retailing,"Seasonally_Cafes, restaurants and takeaway food services",Seasonally_Total (Industry),Turnover ;  Total (State) ;  Food retailing ;,Trend_Household goods retailing,"Trend_Clothing, footwear and personal accessory retailing",Trend_Department stores,Trend_Other retailing,"Trend_Cafes, restaurants and takeaway food services",Trend_Total (Industry)
Apr-1982,1162.6,592.3,359.9,460.1,479.1,342.4,3396.4,1167.1,653.4,360.7,479.7,507.9,349.8,3518.7,1173.2,652.9,362.7,482.4,505.1,347.6,3523.4
May-1982,1150.9,629.6,386.6,502.6,486.1,342.1,3497.9,1178.6,648.7,362.6,489.2,502.3,346.3,3527.6,1181.7,654.1,362.0,484.2,504.9,346.3,3533.6
Jun-1982,1160.0,607.4,350.5,443.8,467.5,328.7,3357.8,1203.7,655.7,365.1,479.2,506.9,350.8,3561.5,1192.7,655.6,361.9,486.4,504.7,345.9,3547.0
Jul-1982,1206.4,632.4,359.3,459.1,491.1,338.5,3486.8,1209.8,660.4,362.0,476.5,503.7,341.5,3553.9,1203.2,656.6,361.6,488.6,505.4,345.4,3560.6
Aug-1982,1152.5,622.6,325.2,438.4,485.7,331.5,3355.9,1198.7,659.8,359.3,515.2,506.0,342.7,3581.8,1213.5,656.5,361.9,489.8,505.6,346.4,3573.6
Sep-1982,1189.1,622.0,346.3,465.1,489.9,341.9,3454.3,1218.0,661.4,363.9,485.2,506.3,346.5,3581.2,1223.8,655.7,363.4,488.7,506.2,348.6,3586.7
Oct-1982,1247.4,637.8,354.2,452.7,500.9,358.4,3551.5,1242.3,649.5,359.1,482.6,507.9,354.2,3595.6,1232.9,658.2,366.2,485.6,508.6,353.5,3605.8
Nov-1982,1280.7,717.2,403.9,522.9,531.1,374.7,3830.5,1260.6,658.1,375.1,488.0,509.6,360.2,3651.7,1244.9,667.4,370.7,483.4,513.3,358.7,3637.7
Dec-1982,1483.7,1077.0,571.4,889.3,725.2,433.1,5179.7,1245.6,670.6,375.9,478.6,518.0,361.8,3650.4,1258.3,681.0,376.1,484.3,519.3,364.3,3681.0
Jan-1983,1202.8,615.9,326.5,379.2,491.4,368.6,3384.5,1240.5,702.9,386.1,471.2,525.6,369.3,3695.6,1268.8,695.0,381.9,488.8,525.3,367.7,3729.5
